"DOMAIN","TITLE","",""
"INFO","What is NASA","",""
"IMAGE","A quaint cottage surrounded by a field of sunflowers.","",""
"INFO","Give me the meaning of","",""
"MATHS","retardation","",""
"INFO","What is the history of the Internet of Things","",""
"INFO","What were the major developments in Indian music and dance during the Mughal period?","",""
"MATHS","sin","",""
"IMAGE","A serene lake reflecting the colorful autumn foliage.","",""
"INFO","What is the history of computer software","",""
"IMAGE","A dense fog rolls in over a tranquil coastline.","",""
"IMAGE","generate an image of","",""
"INFO","Can you share a recipe for a traditional Greek moussaka?","",""
"MATHS","A committee of 4 people is to be formed from a group of 5 men and 6 women. How many different committees can be formed if there must be at least 2 men and 1 woman?","",""
"MATHS","What is the minimum perimeter of a rectangle with an area of 36 square units?","",""
"IMAGE","A fearsome dragon breathing fire and smoke.","",""
"IMAGE","A student attending a seminar on diversity and inclusion.","",""
"INFO","How to relieve toothache pain?","",""
"INFO","How do e-readers like Kindle work?","",""
"IMAGE","A couple taking a scenic drive along a coastal highway.","",""
"INFO","How do I teach students about media literacy?","",""
"MATHS","Determine the domain of the function ","",""
"MATHS","Prove that the square of an odd integer is always odd","",""
"IMAGE","High school students launch weather balloon into stratosphere for science project","",""
"MATHS","Identify the standard form, slope-intercept form, and point-slope form of a linear equation.","",""
"INFO","What is the SI unit of electric resistance?","",""
"INFO","What are the top tourist attractions in Los Angeles?","",""
"INFO","How to make a delicious smoothie?","",""
"IMAGE","A massive space station orbiting a distant star.","",""
"MATHS","invertibility of a matrix","",""
"INFO","What are the best budget-friendly Bluetooth speakers?","",""
"IMAGE","The Sun Temple in Konark is known for its intricate stone carvings and architectural precision.","",""
"INFO","How to lower blood pressure naturally?","",""
"IMAGE","A canopy of stars fills the night sky above a tranquil lake.","",""
"MATHS","Find the characteristic polynomial of a given matrix.","",""
"IMAGE","A student exploring different career paths through internships.","",""
"IMAGE","Ancient rock formations tower over a desert landscape.","",""
"INFO","What caused the Salem Witch Trials in colonial Massachusetts?","",""
"INFO","What are the different types of learning styles?","",""
"MATHS","matrix","",""
"INFO","What is Diwali and how is it celebrated?","",""
"MATHS"," prime number encryption algorithms.","",""
"IMAGE","Hand-painted kalamkari fabrics transformed into stunning garments.","",""
"MATHS","A ladder 10 meters long is leaning against a wall. If the bottom of the ladder slides away from the wall at a rate of 2 m/s, how fast is the top of the ladder sliding down the wall when it is 6 meters above the ground?","",""
"MATHS","How many different 3-digit numbers can be formed using the digits 1, 2, 3, 4, and 5 without repetition?","",""
"IMAGE","Unusual cloud formation baffles meteorologists","",""
"INFO","What is the chemical symbol for water?","",""
"IMAGE","A vibrant rainbow stretching across the sky after a summer rain shower.","",""
"INFO","What are the implications of rising global debt levels?","",""
"IMAGE","A mysterious will-o'-the-wisp leading travelers astray in a foggy marsh.","",""
"MATHS","Convert  5/6 to a decimal.","",""
"MATHS","Solve first-order ordinary differential equations ","",""
"INFO","Who is the President of India?","",""
